date,depth,mag,place,latitude,longitude,depth_avg_22,depth_avg_15,depth_avg_7,mag_avg_22,mag_avg_15,mag_avg_7,mag_outcome
2020-08-03,140.81,4.4,Papua New Guinea,-5.29707441860465,148.894953488372,73.2513636363636,70.354,83.3557142857143,4.71818181818182,4.82,4.94285714285714,
2020-08-04,172.48,5.4,Papua New Guinea,-5.29707441860465,148.894953488372,76.8036363636364,75.9353333333333,106.567142857143,4.76363636363637,4.89333333333334,4.85714285714285,
2020-08-05,94.65,5.0,Papua New Guinea,-5.29707441860465,148.894953488372,79.9486363636364,76.7113333333333,105.6,4.79090909090909,4.93333333333334,4.97142857142857,
2020-08-06,196.24,4.8,Papua New Guinea,-5.29707441860465,148.894953488372,87.8922727272727,89.1273333333333,113.395714285714,4.81363636363637,4.92666666666667,5.07142857142857,
2020-08-06,85.48,4.7,Papua New Guinea,-5.29707441860465,148.894953488372,88.3718181818182,81.7673333333334,124.178571428571,4.80909090909091,4.95333333333333,4.91428571428571,
2020-08-09,10.0,4.7,Papua New Guinea,-5.29707441860465,148.894953488372,80.8554545454545,78.156,117.327142857143,4.80909090909091,4.91333333333334,4.91428571428571,
2020-08-10,10.0,4.5,Papua New Guinea,-5.29707441860465,148.894953488372,77.2968181818182,78.156,101.38,4.8,4.93333333333334,4.78571428571428,
2020-08-08,14.03,2.0,Canada,56.8625733333333,-123.261928571429,7.89863636363637,8.46466666666667,9.85,1.52772727272727,1.574,1.49285714285714,
2020-08-08,-0.37,1.76,Canada,56.8625733333333,-123.261928571429,7.75,7.80666666666667,9.09571428571429,1.55772727272727,1.57333333333333,1.39428571428571,
2020-08-09,29.3,1.93,Canada,56.8625733333333,-123.261928571429,8.33181818181818,9.48666666666667,13.3157142857143,1.60454545454545,1.56866666666667,1.52142857142857,
2020-08-09,2.8,2.2,Canada,56.8625733333333,-123.261928571429,8.27727272727273,9.14866666666667,9.89428571428571,1.64090909090909,1.56866666666667,1.74571428571428,
2020-08-09,9.68,1.79,Canada,56.8625733333333,-123.261928571429,8.39454545454546,9.21866666666667,7.83285714285714,1.65409090909091,1.56466666666667,1.83,
2020-08-10,14.94,2.4,Canada,56.8625733333333,-123.261928571429,8.47818181818182,9.63133333333333,10.02,1.66772727272727,1.65266666666667,1.90428571428571,
2020-08-10,0.0,2.3,Canada,56.8625733333333,-123.261928571429,8.47818181818182,9.51133333333333,10.0542857142857,1.695,1.73933333333333,2.05428571428571,
2020-08-09,14.0,2.8,Puerto Rico,17.9746382978723,-66.8973544680851,9.77272727272727,9.33333333333333,11.4285714285714,2.84409090909091,2.902,3.11,
2020-08-09,11.0,3.13,Puerto Rico,17.9746382978723,-66.8973544680851,9.77272727272727,9.06666666666667,11.7142857142857,2.865,2.96266666666667,3.11142857142857,
2020-08-09,6.0,3.11,Puerto Rico,17.9746382978723,-66.8973544680851,9.40909090909091,9.0,10.5714285714286,2.88409090909091,3.00333333333334,3.17285714285714,
2020-08-10,10.0,2.6,Puerto Rico,17.9746382978723,-66.8973544680851,9.59090909090909,9.26666666666667,11.1428571428571,2.87227272727273,2.98466666666667,3.08857142857143,
2020-08-10,10.0,2.8,Puerto Rico,17.9746382978723,-66.8973544680851,9.40909090909091,9.4,10.7142857142857,2.865,3.04533333333334,3.02285714285714,
2020-08-11,10.0,2.5,Puerto Rico,17.9746382978723,-66.8973544680851,9.59090909090909,9.66666666666667,10.7142857142857,2.85636363636364,2.98933333333334,2.90571428571429,
2020-08-11,13.0,2.97,Puerto Rico,17.9746382978723,-66.8973544680851,9.36363636363636,10.1333333333333,10.5714285714286,2.89909090909091,3.01466666666667,2.84428571428571,
2020-07-31,61.22,5.0,Peru,-14.3749066666667,-73.04238,49.3531818181818,28.9046666666667,39.9628571428571,4.48181818181818,4.48,4.54285714285714,
2020-08-01,79.67,5.1,Peru,-14.3749066666667,-73.04238,47.6163636363636,31.8826666666667,49.9157142857143,4.50909090909091,4.52666666666667,4.68571428571428,
2020-08-03,15.22,5.0,Peru,-14.3749066666667,-73.04238,43.7718181818182,32.2306666666667,50.6614285714286,4.54545454545454,4.57333333333333,4.75714285714285,
2020-08-04,120.49,4.3,Peru,-14.3749066666667,-73.04238,44.3290909090909,37.1306666666667,56.8114285714286,4.54545454545454,4.55333333333333,4.67142857142857,
2020-08-06,27.58,5.5,Peru,-14.3749066666667,-73.04238,44.0472727272727,37.9693333333334,59.3228571428571,4.56363636363636,4.63333333333333,4.87142857142857,
2020-08-08,27.98,5.0,Peru,-14.3749066666667,-73.04238,38.6109090909091,39.168,56.5228571428571,4.6,4.66666666666667,4.88571428571428,
2020-08-08,46.64,4.3,Peru,-14.3749066666667,-73.04238,39.14,41.6106666666667,54.1142857142857,4.57272727272727,4.68,4.88571428571428,
2020-08-08,14.93,3.0,Idaho,44.2482255272152,-114.799450843038,11.8704545454545,11.862,11.8028571428571,2.32318181818182,2.41466666666667,2.62428571428571,
2020-08-08,10.0,2.6,Idaho,44.2482255272152,-114.799450843038,12.07,11.4046666666667,11.2685714285714,2.35818181818182,2.45466666666667,2.61,
2020-08-08,10.0,2.8,Idaho,44.2482255272152,-114.799450843038,12.2059090909091,11.1486666666667,10.9971428571429,2.39636363636364,2.468,2.55285714285714,
2020-08-08,10.0,2.5,Idaho,44.2482255272152,-114.799450843038,11.8068181818182,10.7573333333333,10.5814285714286,2.41727272727273,2.448,2.53857142857143,
2020-08-08,7.06,1.39,Idaho,44.2482255272152,-114.799450843038,11.695,10.4193333333333,10.6242857142857,2.38,2.39733333333333,2.45571428571429,
